# file created by code in harbour_fns_1896438.jl
# file created on 2026-03-09 at 15:39:50
# parameter: seed = 1896476
# parameter: T = 30000.0
# parameter: lower_interarrival = 7.8
# parameter: upper_interarrival = 55.8
# parameter: mean_process_times = [11.0, 16.0]
# parameter: max_queue = [9223372036854775807, 4]
# parameter: time_units = hours
time,event_id,event_type,timing,length_event_list,length_queue1,length_queue2,in_service1,in_service2
       0.000,     0,  Arrival,before,   0,   0,   0,   0,   0
       0.000,     0,  Arrival, after,   2,   0,   0,   1,   0
      21.794,     2,Finish(1),before,   1,   0,   0,   1,   0
      21.794,     2,Finish(1), after,   2,   0,   0,   0,   1
      33.957,     3,Finish(2),before,   1,   0,   0,   0,   1
      33.957,     3,Finish(2), after,   1,   0,   0,   0,   0
      52.180,     1,  Arrival,before,   0,   0,   0,   0,   0
      52.180,     1,  Arrival, after,   2,   0,   0,   1,   0
      60.262,     5,Finish(1),before,   1,   0,   0,   1,   0
      60.262,     5,Finish(1), after,   2,   0,   0,   0,   1
      63.708,     4,  Arrival,before,   1,   0,   0,   0,   1
      63.708,     4,  Arrival, after,   3,   0,   0,   1,   1
      65.279,     8,Finish(1),before,   2,   0,   0,   1,   1
      65.279,     8,Finish(1), after,   2,   0,   1,   0,   1
      76.678,     6,Finish(2),before,   1,   0,   1,   0,   1
      76.678,     6,Finish(2), after,   2,   0,   0,   0,   1
      88.829,     7,  Arrival,before,   1,   0,   0,   0,   1
      88.829,     7,  Arrival, after,   3,   0,   0,   1,   1
      89.795,    11,Finish(1),before,   2,   0,   0,   1,   1
      89.795,    11,Finish(1), after,   2,   0,   1,   0,   1
      92.427,     9,Finish(2),before,   1,   0,   1,   0,   1
      92.427,     9,Finish(2), after,   2,   0,   0,   0,   1
     106.992,    12,Finish(2),before,   1,   0,   0,   0,   1
     106.992,    12,Finish(2), after,   1,   0,   0,   0,   0
     122.951,    10,  Arrival,before,   0,   0,   0,   0,   0
     122.951,    10,  Arrival, after,   2,   0,   0,   1,   0
     125.637,    14,Finish(1),before,   1,   0,   0,   1,   0
     125.637,    14,Finish(1), after,   2,   0,   0,   0,   1
     139.668,    15,Finish(2),before,   1,   0,   0,   0,   1
     139.668,    15,Finish(2), after,   1,   0,   0,   0,   0
     149.395,    13,  Arrival,before,   0,   0,   0,   0,   0
     149.395,    13,  Arrival, after,   2,   0,   0,   1,   0
     151.596,    17,Finish(1),before,   1,   0,   0,   1,   0
